城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,好评数,目的地,编号
 ,1880,0,0,0,9.3, ,6天5晚 ,豪华型酒店,0,三亚、陵水、保亭,3182092217
 ,2520,22,56,22,9.3,飞机往返,4天3晚 ,舒适型酒店,56, ,1395105093
 ,2428,45,37,45,9.9, ,5天4晚 ,豪华型酒店,37, ,2089515827
 ,2428,45,0,45,9.9, ,5天4晚 ,豪华型酒店,0, ,2089515827
 ,3193,0,0,0,9.9, ,5天4晚 ,五星酒店,0,四川、成都、阿坝州,1359362325
 ,3193,0,0,0,9.9, ,5天4晚 ,五星酒店,0,四川、成都、阿坝州,1359362325
北京出发,2520,22,23,22,9.1,高铁往返,3天2晚 ,舒适型酒店,23,上海,3157863942
 ,410,0,0,0,6.7, ,2天1晚 ,舒适型酒店,0, ,2220914204
 ,410,0,0,0,6.7, ,2天1晚 ,舒适型酒店,0, ,2220914204
 ,2407,0,0,0,9.3,全程汽车,5天4晚 ,舒适型酒店,0,成都、阿坝州,587474399
 ,4058,117,0,117,9.9, ,3天2晚 ,豪华型酒店,0,上海、嘉兴,501881363
 ,4058,117,41,117,9.9, ,3天2晚 ,豪华型酒店,41,上海、嘉兴,501881363
 ,4058,117,0,117,9.9, ,3天2晚 ,豪华型酒店,0,上海、嘉兴,501881363
 ,2160,2,9,2,10, ,4天3晚 ,舒适型酒店,9, ,1741896629
合肥出发,2428,45,45,45,9.7,飞机往返,5天4晚 ,舒适型酒店,45,成都、四川、阿坝州,1359399016
 ,1531,23,23,23,9.9, ,4天3晚 ,豪华型酒店,23,广州、珠海,3280796866
 ,1531,23,0,23,9.9, ,4天3晚 ,豪华型酒店,0,广州、珠海,3280796866
 ,408,3,5,3,9.5, ,2天1晚 ,舒适型酒店,5, ,2176746524
南京出发,1531,23,160,23,9.8,飞机往返,5天4晚 ,二星及其他酒店,160,丽江、大理、云南,3228816424
 ,408,3,0,3,9.8, ,2天1晚 ,豪华型酒店,0, ,838264425
 ,408,3,0,3,9.8, ,2天1晚 ,四星酒店,0, ,880682892
 ,408,3,0,3,9.3, ,2天1晚 ,舒适型酒店,0, ,2955278692
 ,408,3,0,3,9.3, ,2天1晚 ,舒适型酒店,0, ,2955278692
 ,4058,117,28,117,9.9,自理去自理回,5天4晚 ,高档型酒店,28,长春、白山、延边,1448640885
 ,408,3,32,3,9.3, ,2天1晚 ,雪乡农家火炕,32,哈尔滨、牡丹江,3898283748
 ,408,3,59,3,9.8, ,2天1晚 ,豪华型酒店,59, ,2465394005
 ,408,3,0,3,9.8, ,2天1晚 ,豪华型酒店,0, ,2465394005
 ,408,3,0,3,9.8, ,2天1晚 ,豪华型酒店,0,青岛、山东,4185124842
 ,408,3,0,3,9.7, ,2天1晚 ,黄山太平湖绿地皇...,0, ,3821250486
 ,408,3,30,3,9.9, ,3天2晚 ,豪华型酒店,30,三亚、海南,1977844051
 ,408,3,26,3,10, ,5天4晚 ,舒适型酒店,26, ,2767787022
 ,408,3,55,3,9.2, ,2天1晚 ,高档型酒店,55, ,1820662474
 ,408,3,0,3,9.8, ,3天2晚 ,高档型酒店,0,嘉兴、浙江、杭州,1931576313
 ,408,3,0,3,9.8, ,3天2晚 ,高档型酒店,0,嘉兴、浙江、杭州,1931576313
 ,408,3,68,3,9.8, ,1天, ,68, ,231151614
 ,408,3,71,3,9.8, ,2天1晚 ,豪华型酒店,71, ,3571116816
 ,2407,0,0,0,9.3,全程汽车,5天4晚 ,舒适型酒店,0,成都、阿坝州,587474399
 ,408,3,0,3,9.8, ,2天1晚 ,五星酒店,0, ,4282522809
 ,408,3,0,3,9.8, ,2天1晚 ,五星酒店,0, ,4282522809
 ,408,3,0,3,9.8, ,2天1晚 ,五星酒店,0, ,4282522809
 ,408,3,0,3,9.8, ,2天1晚 ,五星酒店,0, ,4282522809
 ,408,3,1,3,9.8, ,2天1晚 ,五星酒店,1, ,4282522809
 ,1531,23,0,23,9.9, ,4天3晚 ,豪华型酒店,0,广州、珠海,1261166380
 ,1531,23,0,23,9.2, ,5天4晚 ,舒适型酒店,0, ,4061327566
 ,1531,23,0,23,9.2, ,5天4晚 ,舒适型酒店,0, ,4061327566
 ,1531,23,0,23,9.4, ,4天3晚 ,二星及其他酒店,0, ,3964249165
 ,1531,23,0,23,9.9, ,5天4晚 ,高档型酒店,0,广州、珠海,3689616351
 ,1531,23,51,23,9.9, ,4天3晚 ,豪华型酒店,51,广州、珠海,1419592541
 ,1531,23,0,23,9.5,全程汽车,3天2晚 ,二星及其他酒店,0, ,2345847978
 ,1531,23,0,23,9.5,全程汽车,3天2晚 ,二星及其他酒店,0, ,2345847978
 ,1531,23,0,23,9.5,全程汽车,3天2晚 ,二星及其他酒店,0, ,2345847978
 ,1531,23,35,23,9.9, ,5天4晚 ,豪华型酒店,35,广州、珠海,2690366132
 ,1531,23,0,23,9.8,全程汽车,7天6晚 ,高档型酒店,0,哈尔滨、牡丹江、黑龙江、吉林、延边、长春,1493618148
 ,1531,23,0,23,9.2, ,5天4晚 ,高档型酒店,0, ,40847468
 ,1531,23,28,23,9.9, ,5天4晚 ,豪华型酒店,28,广州、珠海,716203050
 ,1531,23,0,23,9.9, ,5天4晚 ,豪华型酒店,0,广州、珠海,716203050
 ,1531,23,0,23,9.4, ,6天5晚 ,哈尔滨会华宫商文...等,0,哈尔滨、牡丹江,1317761100
 ,1531,23,0,23,9.9, ,4天3晚 ,豪华型酒店,0,广州、珠海,916551608
 ,3193,0,0,0,9.9, ,7天6晚 ,舒适型酒店,0,四川、成都、阿坝州、乐山,595925063
 ,1531,23,0,23,9.9, ,4天3晚 ,高档型酒店,0,广州、珠海,3484662471
 ,1531,23,0,23,9.8,全程汽车,7天6晚 ,春天连锁宾馆哈尔...等,0,哈尔滨、牡丹江、黑龙江、吉林、延边、吉林市、长春,404328163
 ,408,3,111,3,9.8, ,2天1晚 ,豪华型酒店,110, ,2011328380
 ,1531,23,0,23,10, ,5天4晚 ,高档型酒店,0, ,3966404091
 ,1531,23,24,23,10, ,5天4晚 ,高档型酒店,24, ,3966404091
 ,1531,23,0,23,10, ,5天4晚 ,高档型酒店,0, ,3966404091
 ,1547,0,2,0,10, ,6天5晚 ,西宁灏岚酒店等,2,西宁、海南藏族自治州、海西蒙古族藏族自治州、张掖、海北藏族自治州、酒泉、嘉峪关、青海,4203467160
 ,1531,23,0,23,10, ,5天4晚 ,高档型酒店,0, ,3966404091
 ,4058,117,2,117,9.9, ,4天3晚 ,高档型酒店,2, ,3422388074
 ,4058,117,1,117,9.9, ,4天3晚 ,高档型酒店,1, ,3422388074
 ,4058,117,0,117,9.9, ,4天3晚 ,高档型酒店,0, ,3422388074
 ,1531,23,0,23,10, ,5天4晚 ,舒适型酒店,0,乐山、成都,4210269971
 ,4058,117,3,117,9.7, ,4天3晚 ,豪华型酒店,3, ,1743699139
 ,4058,117,0,117,9.9, ,4天3晚 ,高档型酒店,0,成都、乐山、四川,80137850
 ,4058,117,0,117,9.9, ,4天3晚 ,高档型酒店,0,成都、乐山、四川,80137850
 ,4058,117,43,117,9.9, ,4天3晚 ,高档型酒店,43,成都、乐山、四川,80137850
 ,4058,117,0,117,9.8, ,3天2晚 ,舒适型酒店,0,上海、嘉兴、昆山市,3983531791
 ,4058,117,0,117,9.8, ,3天2晚 ,舒适型酒店,0,上海、嘉兴、昆山市,3983531791
 ,4058,117,36,117,10, ,7天6晚 ,二道白河准五星温...等,35,吉林、哈尔滨、牡丹江、延边、吉林市、长春,2688109720
 ,4058,117,0,117,9.9, ,3天2晚 ,高档型酒店,0, ,4140164882
 ,4058,117,0,117,9.9, ,4天3晚 ,五星酒店,0,杭州、嘉兴、苏州,2963615034
 ,4058,117,0,117,9.2, ,5天4晚 ,经济型酒店,0, ,309329785
 ,4058,117,0,117,9.2, ,5天4晚 ,经济型酒店,0, ,309329785
 ,4058,117,0,117,9.3,自理去自理回,8天7晚 ,重庆光宇戴斯酒店等,0,重庆、成都、乐山,2282851139
 ,4058,117,0,117,9.3,自理去自理回,8天7晚 ,重庆光宇戴斯酒店等,0,重庆、成都、乐山,2282851139
 ,4058,117,72,117,9.9, ,5天4晚 ,舒适型酒店,72,成都、乐山、四川,3505879946
 ,4058,117,0,117,9.9, ,5天4晚 ,舒适型酒店,0,成都、乐山、四川,3505879946
 ,4058,117,0,117,9.8, ,4天3晚 ,高档型酒店,0,嘉兴、杭州、湖州、苏州,1056186468
 ,4058,117,3,117,9.8, ,4天3晚 ,高档型酒店,3,嘉兴、杭州、湖州、苏州,1056186468
南京出发,4058,117,0,117,9.8,飞机往返,5天4晚 ,高档型酒店,0,丽江、云南,1351525992
南京出发,4058,117,65,117,9.8,飞机往返,5天4晚 ,高档型酒店,65,丽江、云南,1351525992
 ,3980,0,0,0,9.5, ,8天7晚 ,二星及其他酒店,0,哈尔滨、牡丹江、大兴安岭,3239333407
 ,410,0,223,0,10, ,4天3晚 ,舒适型酒店,223, ,1140615725
 ,410,0,0,0,10, ,4天3晚 ,舒适型酒店,0, ,1140615725
 ,410,0,0,0,10, ,4天3晚 ,舒适型酒店,0, ,1140615725
 ,410,0,0,0,10, ,5天4晚 ,高档型酒店,0, ,3164443478
 ,410,0,70,0,9.7, ,2天1晚 ,高档型酒店,70, ,1784563653
 ,410,0,2,0,9.7, ,2天1晚 ,高档型酒店,2, ,1784563653
 ,1531,23,31,23,10, ,7天6晚 ,二道白河准五温泉...等,31,哈尔滨、牡丹江、延边、吉林、吉林市、长春,3727567576
 ,410,0,1,0,6.7, ,3天2晚 ,四星酒店,1, ,4162864705
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,1,0,10, ,3天2晚 ,高档型酒店,1, ,4046359258
 ,410,0,0,0,10, ,3天2晚 ,高档型酒店,0, ,4046359258
 ,410,0,0,0,10, ,3天2晚 ,舒适型酒店,0, ,220256427
 ,410,0,26,0,10, ,2天1晚 ,舒适型酒店,26,<img src="//s.qunarzz.com/package_b2c_frontend/detail/qnr-yx.png" class="activity-tag"><em>去哪儿专线标准 · 严选品质保障,1740824620
 ,410,0,18,0,10, ,2天1晚 ,舒适型酒店,18,<img src="//s.qunarzz.com/package_b2c_frontend/detail/qnr-yx.png" class="activity-tag"><em>去哪儿专线标准 · 严选品质保障,1740824620
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1238791204
