,城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,行程内交通时长,目的地,编号
0,广州,2713,18.2万,4.2万人,3285,95, , , ,共2次,三亚,210050902
1,广州,3413,90,7人,7462,94, ,共8个,4晚豪华型, , ,210783496
2,广州,2976,18.2万,4.2万人,20409,97, ,共16个,共2次,共3次,三亚,210051760
3,广州,3276,14.2万,3.3万人,1751,96, , , ,共2次,三亚,210055121
4,广州,1697,10.9万,1.1万人, , , ,共8个,5晚豪华型, , ,210598350
5,广州,3728,6.2万,1.3万人,1905,95,飞机/飞机,共8个,4晚豪华型,约7小时5分钟（行程内）,三亚,210055982
6,广州,2650,4702,1053人, , ,飞机/飞机, , , , ,210472024
7,广州,3030,2069,416人,425,97,飞机/飞机,共9个,4晚豪华型,共2次,三亚,210051403
8,广州,2603,3.3万,6759人, , , , , , , ,210057325
9,广州,3248,2489,189人,46,100, ,共6个,4晚豪华型, , ,210604991
10,广州,3948,1233,71人,11,100, , , , , ,210604322
11,广州,2805,1.3万,2401人,186,99, , , , , ,210626303
12,广州,3495,5.5万,1.2万人, , , , , ,共2次,三亚,210053480
13,广州,3104,2.0万,4038人,25,100, , , ,共2次,三亚,210688300
14,广州,2879,7462,1788人, , ,飞机/飞机,共8个,4晚豪华型,约4小时35分钟（行程内）,三亚,210049183
15,广州,2279,728,23人,55264,97,飞机/飞机,共8个,5晚豪华型, , ,210600500
16,广州,2348,3285,607人,147,100,汽车/汽车,共7个,4晚豪华型,共1次,三亚,210082248
17,广州,1909,3514,198人, , , , , , , ,210646387
18,广州,1861,4841,417人,181696,96, ,共7个,"2晚高档型,2晚五星级", , ,210600956
19,广州,1740,573,45人,90,96,汽车/汽车, , , , ,210600403
20,广州,2640,106,20人, , , , , ,共6次,三亚,210507641
21,广州,3854,46,3人,182141,96, , , , , ,210806336
22,广州,1872,1905,177人,141781,96,自行安排/自行安排,共3个,4晚豪华型, , ,210600127
23,广州,1803,1751,358人,108996,95,汽车/汽车, , ,共1次,三亚,210600125
24,广州,2829,11,3人, , , , , , , ,210828700
25,广州,1367,425,13人,61608,96, ,共4个,3晚豪华型, , ,210662449
26,广州,811,25,1人,2069,95,飞机/飞机, , , , ,210961360
27,广州,192,147,17人, , ,飞机/飞机, , , , ,210976583
28,广州,201,186,22人,33298,97, , , , , ,210976915
29,广州,1494,5.5万,1.2万人,4702,95, , , ,共2次,三亚,210048651
30,广州,140,446,38人, , , ,共3个,4晚豪华型, , ,210811624
31,广州,2072,521,38人,186,99, ,共8个,6晚豪华型, , ,210600390
32,广州,259,256,38人, , , ,共8个,6晚豪华型, , ,210606077
33,广州,937,239,15人,425,97, , , , , ,210961152
34,广州,278,67,15人, , ,飞机/飞机, , , , ,210867851
35,广州,137,219,34人,55264,97, , , , , ,210673604
36,广州,1364,168,15人,446,97, , , , , ,210770874
37,广州,4429,17,2人, , ,飞机/飞机, , , , ,210736020
38,广州,1709,45,2人,521,99,汽车/汽车, , , , ,210606218
39,广州,1100,104,4人, , , , , , , ,210767494
40,广州,1080,37,1人,240,100, , , , , ,300313593
41,广州,580,7,4人, , , , , , , ,210588934
42,广州,1690,2,4.2万人,256,100, , , ,约30分钟（行程内）,三亚,320006892
43,广州,1600,38,7276人, , ,汽车/汽车, , , , ,210667997
44,广州,6143,9,1.1万人,219,90, , , , , ,320003416
45,广州,1080,5,5343人, , , ,共7个,4晚豪华型, , ,300626570
46,广州,2602,18.2万,8567人,67,96,汽车/汽车, , ,共1次,三亚,210053393
47,广州,2330,3.8万,109人, , , , , ,共1次,三亚,210050844
48,广州,3099,5.2万,3951人,170,97, , , , , ,210053450
49,广州,2602,2.4万,7207人, , , ,共8个,3晚豪华型,约4小时35分钟（行程内）,三亚,210057023
50,广州,3005,4.1万,46人,17,96, ,共8个,3晚豪华型, , ,210115871
51,广州,6522,679,4225人, , ,自行安排/自行安排, , , , ,210597216
52,广州,2343,5.1万,578人,45,100,汽车/汽车,共7个,3晚豪华型,约4小时45分钟（行程内）,三亚,210598502
